0,1,2,3,4,5,6
2013/6/16 16:05,50.50624847,57.23125458,42.51875305,0.32530000800000003,2560.443848,0
2013/6/16 17:05,50.80000305,57.10625458,42.51875305,0.319700032,2521.631348,0
2013/6/16 18:05,50.51250458,57.00624847,42.40000153,0.315200001,2520.28125,0
2013/6/16 19:05,50.60625458,56.86250305,42.41249847,0.3213,2531.756348,0
2013/6/16 20:05,50.41249847,56.80000305,42.41875458,0.315100044,2517.243896,0
2013/6/16 21:05,50.50624847,56.6875,42.41249847,0.298299998,2540.025146,0
2013/6/16 22:05,50.44374847,56.6875,42.31874847,0.324900001,2553.693848,0
2013/6/16 23:05,50.3125,56.5,42.3125,0.319100052,2541.375,0
2013/6/17 0:05,50.20000458,56.30625153,42.3125,0.321400017,2550.150146,0
2013/6/17 1:05,50.09375,56.51875305,42.31874847,0.310600013,2550.150146,0
2013/6/17 2:05,50.44374847,56.61250305,42.41875458,0.323200017,2535.131348,0
2013/6/17 3:05,50.41249847,56.70625305,42.40625,0.325100034,2515.893799,0
2013/6/17 4:05,50.50624847,56.71250153,42.40625,0.322700053,2525.681396,0
2013/6/17 5:05,50.60625458,56.67500305,42.41249847,0.318400055,2508.131348,0
2013/6/17 6:05,50.5625,56.55000305,42.41875458,0.320300013,2561.287598,0
2013/6/17 7:05,50.50624847,56.73125458,42.41875458,0.320200056,2520.787598,0
2013/6/17 8:05,50.60625458,56.71250153,42.38750458,0.323700041,2539.856201,0
2013/6/17 9:05,50.41249847,56.69374847,42.43125153,0.311300009,2549.475098,0
2013/6/17 10:05,50.41875458,56.72499847,42.41249847,0.323100001,2464.425049,0
2013/6/17 11:05,50.70625305,57.00624847,42.52500153,0.318400055,2535.300049,0
2013/6/17 12:05,50.46875,57.20625305,42.51875305,0.324800044,2562.300049,0
2013/6/17 13:05,50.71875,56.90625,42.50624847,0.334100038,2533.275146,0
2013/6/17 14:05,50.50624847,56.81874847,42.41249847,0.321800023,2548.293701,0
2013/6/17 15:05,50.50624847,56.80625153,42.41249847,0.327100009,2533.612549,0
2013/6/17 16:05,50.29375458,56.90625,42.52500153,0.322700053,2552.006348,0
2013/6/17 17:05,50.40625,57.20625305,42.51250458,0.326100022,2550.318848,0
2013/6/17 18:05,50.63750458,56.80625153,42.51875305,0.326100022,2533.612549,0
2013/6/17 19:05,50.61250305,56.84375,42.50624847,0.326100022,2541.543701,0
2013/6/17 20:05,50.63124847,56.8125,42.53749847,0.326100022,2548.462646,0
2013/6/17 21:05,50.61250305,56.80000305,42.51875305,0.327300042,2561.793701,0
2013/6/17 22:05,50.59999847,56.90625,42.51875305,0.326200038,2555.212646,0
2013/6/17 23:05,50.71250153,56.90000153,42.52500153,0.325200051,2538.675049,0
2013/6/18 0:05,50.73125458,56.91249847,42.52500153,0.325200051,2532.09375,0
2013/6/18 1:05,50.61875153,56.90625,42.53749847,0.321200043,2531.925049,0
2013/6/18 2:05,50.70625305,56.91249847,42.51250458,0.321200043,2526.862549,0
2013/6/18 3:05,50.84375,56.91249847,42.61250305,0.32220003,2539.6875,0
2013/6/18 4:05,50.85625458,56.98750305,42.60625458,0.32220003,2540.362549,0
2013/6/18 5:05,50.83750153,57.02500153,42.61250305,0.32220003,2543.231201,0
2013/6/18 6:05,50.69374847,57.03749847,42.61250305,0.32220003,2535.300049,0
2013/6/18 7:05,50.80625153,57.02500153,42.61875153,0.32220003,2545.425049,0
2013/6/18 8:05,50.8125,57.01875305,42.61250305,0.319400042,2540.025146,0
2013/6/18 9:05,50.80000305,57.11250305,42.60625458,0.319400042,2543.737549,0
2013/6/18 10:05,50.8125,57.09999847,42.61250305,0.32220003,2548.631348,0
